000,ei kuntatietoa
001,Ahlainen
002,Aitolahti
003,Akaa
004,Alahärmä
005,Alajärvi
006,Alastaro
007,Alatornio
008,Alaveteli
009,Alavieska
010,Alavus
011,Angelniemi
012,Anjala
013,Antrea
014,Anttola
015,Artjärvi
016,Asikkala
017,Askainen
018,Askola
019,Aura
020,Akaa
032,Bergö
033,Björköby
034,Bromarv
035,Brändö
039,Degerby
040,Dragsfjärd
043,Eckerö
044,Elimäki
045,Eno
046,Enonkoski
047,Enontekiö
048,Eräjärvi
049,Espoo
050,Eura
051,Eurajoki
052,Evijärvi
060,Finström
061,Forssa
062,Föglö
065,Geta
068,Haaga
069,Haapajärvi
070,Haapasaari
071,Haapavesi
072,Hailuoto
073,Halikko
074,Halsua
075,Hamina
076,Hammarland
077,Hankasalmi
078,Hanko
079,Harjavalta
080,Harlu
081,Hartola
082,Hattula
083,Hauho
084,Haukipudas
085,Haukivuori
086,Hausjärvi
087,Heinjoki
088,Heinola
089,Heinolan mlk
090,Heinävesi
091,Helsinki
092,Vantaa
093,Hiitola
094,Hiittinen
095,Himanka
096,Hinnerjoki
097,Hirvensalmi
098,Hollola
099,Honkajoki
100,Honkilahti
101,Houtskari
102,Huittinen
103,Humppila
104,Huopalahti
105,Hyrynsalmi
106,Hyvinkää
107,Hyvinkään mlk
108,Hämeenkyrö
109,Hämeenlinna
110,Hämeenlinnan mlk
111,Heinola
139,Ii
140,Iisalmi
141,Iisalmen mlk
142,Iitti
143,Ikaalinen
144,Ikaalinen
145,Ilmajoki
146,Ilomantsi
147,Impilahti
148,Inari
149,Inkoo
150,Iniö
151,Isojoki
152,Isokyrö
153,Imatra
162,Jaakkima
163,Jaala
164,Jalasjärvi
165,Janakkala
166,Jepua
167,Joensuu
168,Johannes
169,Jokioinen
170,Jomala
171,Joroinen
172,Joutsa
173,Joutseno
174,Juankoski
175,Jurva
176,Juuka
177,Juupajoki
178,Juva
179,Jyväskylä
180,Jyväskylän mlk
181,Jämijärvi
182,Jämsä
183,Jämsänkoski
184,Jäppilä
185,Jääski
186,Järvenpää
201,Karhula
202,Kaarina
203,Kaarlela
204,Kaavi
205,Kajaani
206,Kajaanin mlk
207,Kakskerta
208,Kalajoki
209,Kalanti
210,Kalvola
211,Kangasala
212,Kangaslampi
213,Kangasniemi
214,Kankaanpää
215,Kanneljärvi
216,Kannonkoski
217,Kannus
218,Karijoki
219,Karinainen
220,Karjaa
221,Karjaan mlk
222,Karjala
223,Karjalohja
224,Karkkila
225,Karkku
226,Karstula
227,Karttula
228,Karuna
229,Karunki
230,Karvia
231,Kaskinen
232,Kauhajoki
233,Kauhava
234,Kaukola
235,Kauniainen
236,Kaustinen
237,Kauvatsa
238,Keikyä
239,Keitele
240,Kemi
241,Keminmaa
242,Kemijärven mlk
243,Kemiö
244,Kempele
245,Kerava
246,Kerimäki
247,Kestilä
248,Kesälahti
249,Keuruu
250,Kihniö
251,Kiihtelysvaara
252,Kiikala
253,Kiikka
254,Kiikoinen
255,Kiiminki
256,Kinnula
257,Kirkkonummi
258,Kirvu
259,Kisko
260,Kitee
261,Kittilä
262,Kiukainen
263,Kiuruvesi
264,Kivennapa
265,Kivijärvi
266,Kodisjoki
267,Koijärvi
268,Koivisto
269,Koiviston mlk
270,Koivulahti
271,Kokemäki
272,Kokkola
273,Kolari
274,Konginkangas
275,Konnevesi
276,Kontiolahti
277,Korpilahti
278,Korpiselkä
279,Korppoo
280,Korsnäs
281,Kortesjärvi
282,Koskenpää
283,Hämeenkoski
284,Koski Tl
285,Kotka
286,Kouvola
287,Kristiinankaupunki
288,Kruunupyy
289,Kuhmalahti
290,Kuhmo
291,Kuhmoinen
292,Kuivaniemi
293,Kullaa
294,Kulosaaren huvilakaupunki
295,Kumlinge
296,Kuolemajärvi
297,Kuopio
298,Kuopion mlk
299,Kuorevesi
300,Kuortane
301,Kurikka
302,Kurkijoki
303,Kuru
304,Kustavi
305,Kuusamo
306,Kuusankoski
307,Kuusisto
308,Kuusjoki
309,Outokumpu
310,Kylmäkoski
311,Kymi
312,Kyyjärvi
313,Käkisalmi
314,Käkisalmen mlk
315,Kälviä
316,Kärkölä
317,Kärsämäki
318,Kökar
319,Köyliö
320,Kemijärvi
321,Kyyrölä
322,Kemiönsaari
397,Lahdenpohja
398,Lahti
399,Laihia
400,Laitila
401,Lammi
402,Lapinlahti
403,Lappajärvi
404,Lappee
405,Lappeenranta
406,Lappi
407,Lapinjärvi
408,Lapua
409,Lapväärtti
410,Laukaa
411,Lauritsala
